Season,Observed
MAM-1948,-9999
AMJ-1948,-9999
MJJ-1948,-9999
JJA-1948,-9999
JAS-1948,-9999
ASO-1948,-9999
SON-1948,-9999
OND-1948,-9999
NDJ-1948,-9999
DJF-1948,-9999
JFM-1949,-9999
FMA-1949,-9999
MAM-1949,-9999
AMJ-1949,-9999
MJJ-1949,-9999
JJA-1949,-9999
JAS-1949,-9999
ASO-1949,-9999
SON-1949,-9999
OND-1949,-9999
NDJ-1949,-9999
DJF-1949,-9999
JFM-1950,-6666.66333333333
FMA-1950,-3334.22666666667
MAM-1950,-1.7
AMJ-1950,-1.55
MJJ-1950,-1.57
JJA-1950,-1.52
JAS-1950,-1.34333333333333
ASO-1950,-1.08333333333333
SON-1950,-0.986666666666667
OND-1950,-0.993333333333333
NDJ-1950,-1.08
DJF-1950,-1.19
JFM-1951,-1.28
FMA-1951,-1.21666666666667
MAM-1951,-0.906666666666667
AMJ-1951,-0.55
MJJ-1951,-0.206666666666667
JJA-1951,-0.08
JAS-1951,0.0966666666666667
ASO-1951,0.156666666666667
SON-1951,0.326666666666667
OND-1951,0.39
NDJ-1951,0.516666666666667
DJF-1951,0.45
JFM-1952,0.33
FMA-1952,0.143333333333333
MAM-1952,0.00333333333333334
AMJ-1952,-0.0466666666666667
MJJ-1952,-0.09
JJA-1952,-0.233333333333333
JAS-1952,-0.48
ASO-1952,-0.62
SON-1952,-0.56
OND-1952,-0.46
NDJ-1952,-0.533333333333333
DJF-1952,-0.543333333333333
JFM-1953,-0.323333333333333
FMA-1953,0.0166666666666667
MAM-1953,0.243333333333333
AMJ-1953,0.25
MJJ-1953,0.286666666666667
JJA-1953,0.32
JAS-1953,0.293333333333333
ASO-1953,0.206666666666667
SON-1953,0.173333333333333
OND-1953,0.18
NDJ-1953,0.21
DJF-1953,0.25
JFM-1954,0.34
FMA-1954,0.373333333333333
MAM-1954,0.11
AMJ-1954,-0.423333333333333
MJJ-1954,-0.786666666666667
JJA-1954,-0.97
JAS-1954,-0.973333333333333
ASO-1954,-1.18
SON-1954,-1.40333333333333
OND-1954,-1.50333333333333
NDJ-1954,-1.40333333333333
DJF-1954,-1.31333333333333
JFM-1955,-1.13
FMA-1955,-1.07
MAM-1955,-0.98
AMJ-1955,-1.07666666666667
MJJ-1955,-1.18666666666667
JJA-1955,-1.22666666666667
JAS-1955,-1.20333333333333
ASO-1955,-1.22666666666667
SON-1955,-1.31
OND-1955,-1.69666666666667
NDJ-1955,-2.06333333333333
DJF-1955,-2.26333333333333
JFM-1956,-1.89333333333333
FMA-1956,-1.40666666666667
MAM-1956,-1.00666666666667
AMJ-1956,-0.93
MJJ-1956,-0.866666666666667
JJA-1956,-0.896666666666667
JAS-1956,-0.926666666666667
ASO-1956,-1.05
SON-1956,-1.07
OND-1956,-1.04
NDJ-1956,-1.03
DJF-1956,-1
JFM-1957,-0.846666666666667
FMA-1957,-0.54
MAM-1957,-0.183333333333333
AMJ-1957,0.123333333333333
MJJ-1957,0.403333333333333
JJA-1957,0.553333333333333
JAS-1957,0.706666666666667
ASO-1957,0.78
SON-1957,0.81
OND-1957,0.753333333333333
NDJ-1957,0.78
DJF-1957,0.973333333333333
JFM-1958,1.33333333333333
FMA-1958,1.52333333333333
MAM-1958,1.41666666666667
AMJ-1958,0.976666666666667
MJJ-1958,0.606666666666667
JJA-1958,0.366666666666667
JAS-1958,0.223333333333333
ASO-1958,0.0933333333333333
SON-1958,-0.1
OND-1958,-0.2
NDJ-1958,-0.18
DJF-1958,-0.0666666666666667
JFM-1959,0.2
FMA-1959,0.326666666666667
MAM-1959,0.383333333333333
AMJ-1959,0.226666666666667
MJJ-1959,0.00666666666666666
JJA-1959,-0.173333333333333
JAS-1959,-0.48
ASO-1959,-0.66
SON-1959,-0.81
OND-1959,-0.683333333333333
NDJ-1959,-0.646666666666667
DJF-1959,-0.52
JFM-1960,-0.453333333333333
FMA-1960,-0.386666666666667
MAM-1960,-0.346666666666667
AMJ-1960,-0.363333333333333
MJJ-1960,-0.293333333333333
JJA-1960,-0.356666666666667
JAS-1960,-0.383333333333333
ASO-1960,-0.35
SON-1960,-0.28
OND-1960,-0.306666666666667
NDJ-1960,-0.406666666666667
DJF-1960,-0.44
JFM-1961,-0.38
FMA-1961,-0.293333333333333
MAM-1961,-0.283333333333333
AMJ-1961,-0.333333333333333
MJJ-1961,-0.33
JJA-1961,-0.233333333333333
JAS-1961,-0.216666666666667
ASO-1961,-0.38
SON-1961,-0.673333333333333
OND-1961,-0.873333333333333
NDJ-1961,-0.86
DJF-1961,-0.756666666666667
JFM-1962,-0.616666666666667
FMA-1962,-0.596666666666667
MAM-1962,-0.546666666666667
AMJ-1962,-0.58
MJJ-1962,-0.686666666666667
JJA-1962,-0.743333333333333
JAS-1962,-0.69
ASO-1962,-0.57
SON-1962,-0.613333333333333
OND-1962,-0.686666666666667
NDJ-1962,-0.826666666666667
DJF-1962,-0.876666666666667
JFM-1963,-0.886666666666667
FMA-1963,-0.746666666666667
MAM-1963,-0.47
AMJ-1963,-0.22
MJJ-1963,-0.143333333333333
JJA-1963,-0.146666666666667
JAS-1963,0.0266666666666667
ASO-1963,0.333333333333333
SON-1963,0.596666666666667
OND-1963,0.646666666666667
NDJ-1963,0.696666666666667
DJF-1963,0.81
JFM-1964,0.86
FMA-1964,0.73
MAM-1964,0.303333333333333
AMJ-1964,-0.25
MJJ-1964,-0.75
JJA-1964,-1.04333333333333
JAS-1964,-1.07333333333333
ASO-1964,-1.12
SON-1964,-1.20666666666667
OND-1964,-1.33666666666667
NDJ-1964,-1.39666666666667
DJF-1964,-1.38666666666667
JFM-1965,-1.23333333333333
FMA-1965,-0.94
MAM-1965,-0.596666666666667
AMJ-1965,-0.446666666666667
MJJ-1965,-0.24
JJA-1965,-0.00666666666666667
JAS-1965,0.343333333333333
ASO-1965,0.696666666666667
SON-1965,1.00666666666667
OND-1965,1.28666666666667
NDJ-1965,1.38666666666667
DJF-1965,1.41
JFM-1966,1.3
FMA-1966,1.09333333333333
MAM-1966,0.95
AMJ-1966,0.693333333333333
MJJ-1966,0.3
JJA-1966,-0.0366666666666667
JAS-1966,-0.14
ASO-1966,-0.136666666666667
SON-1966,-0.256666666666667
OND-1966,-0.436666666666667
NDJ-1966,-0.47
DJF-1966,-0.513333333333333
JFM-1967,-0.57
FMA-1967,-0.626666666666667
MAM-1967,-0.696666666666667
AMJ-1967,-0.833333333333333
MJJ-1967,-0.816666666666667
JJA-1967,-0.643333333333333
JAS-1967,-0.393333333333333
ASO-1967,-0.336666666666667
SON-1967,-0.536666666666667
OND-1967,-0.673333333333333
NDJ-1967,-0.74
DJF-1967,-0.67
JFM-1968,-0.706666666666667
FMA-1968,-0.856666666666667
MAM-1968,-0.956666666666667
AMJ-1968,-0.913333333333333
MJJ-1968,-0.806666666666667
JJA-1968,-0.44
JAS-1968,-0.106666666666667
ASO-1968,0.196666666666667
SON-1968,0.15
OND-1968,0.07
NDJ-1968,0.183333333333333
DJF-1968,0.403333333333333
JFM-1969,0.706666666666667
FMA-1969,0.91
MAM-1969,0.866666666666667
AMJ-1969,0.653333333333333
MJJ-1969,0.4
JJA-1969,0.206666666666667
JAS-1969,0.0333333333333333
ASO-1969,-0.03
SON-1969,0.126666666666667
OND-1969,0.403333333333333
NDJ-1969,0.483333333333333
DJF-1969,0.466666666666667
JFM-1970,0.353333333333333
FMA-1970,0.286666666666667
MAM-1970,0.113333333333333
AMJ-1970,-0.00666666666666667
MJJ-1970,-0.173333333333333
JJA-1970,-0.356666666666667
JAS-1970,-0.69
ASO-1970,-1.01
SON-1970,-1.13666666666667
OND-1970,-1.15
NDJ-1970,-1.10666666666667
DJF-1970,-1.19333333333333
JFM-1971,-1.39666666666667
FMA-1971,-1.54333333333333
MAM-1971,-1.55333333333333
AMJ-1971,-1.37
MJJ-1971,-1.17333333333333
JJA-1971,-1.09666666666667
JAS-1971,-1.09333333333333
ASO-1971,-1.13333333333333
SON-1971,-1.09
OND-1971,-1.11333333333333
NDJ-1971,-1.13
DJF-1971,-1.20666666666667
JFM-1972,-1.1
FMA-1972,-0.866666666666667
MAM-1972,-0.52
AMJ-1972,-0.19
MJJ-1972,0.0866666666666667
JJA-1972,0.3
JAS-1972,0.56
ASO-1972,0.796666666666667
SON-1972,1.05666666666667
OND-1972,1.28666666666667
NDJ-1972,1.55666666666667
DJF-1972,1.84333333333333
JFM-1973,1.93
FMA-1973,1.69666666666667
MAM-1973,1.09
AMJ-1973,0.296666666666667
MJJ-1973,-0.426666666666667
JJA-1973,-0.91
JAS-1973,-1.23
ASO-1973,-1.45
SON-1973,-1.61
OND-1973,-1.75666666666667
NDJ-1973,-2.00333333333333
DJF-1973,-2.20333333333333
JFM-1974,-2.24
FMA-1974,-2.00333333333333
MAM-1974,-1.73333333333333
AMJ-1974,-1.49
MJJ-1974,-1.36666666666667
JJA-1974,-1.28333333333333
JAS-1974,-1.13
ASO-1974,-0.873333333333333
SON-1974,-0.686666666666667
OND-1974,-0.7
NDJ-1974,-0.89
DJF-1974,-1
JFM-1975,-0.836666666666667
FMA-1975,-0.7
MAM-1975,-0.74
AMJ-1975,-0.91
MJJ-1975,-1.06
JJA-1975,-1.19666666666667
JAS-1975,-1.34
ASO-1975,-1.47
SON-1975,-1.52333333333333
OND-1975,-1.67
NDJ-1975,-1.71666666666667
DJF-1975,-1.80666666666667
JFM-1976,-1.86666666666667
FMA-1976,-1.73333333333333
MAM-1976,-1.36333333333333
AMJ-1976,-1.00333333333333
MJJ-1976,-0.83
JJA-1976,-0.683333333333333
JAS-1976,-0.426666666666667
ASO-1976,-0.14
SON-1976,0.0866666666666667
OND-1976,0.39
NDJ-1976,0.586666666666667
DJF-1976,0.65
JFM-1977,0.66
FMA-1977,0.546666666666667
MAM-1977,0.446666666666667
AMJ-1977,0.06
MJJ-1977,-0.133333333333333
JJA-1977,-0.193333333333333
JAS-1977,-0.0366666666666667
ASO-1977,0.03
SON-1977,0.16
OND-1977,0.34
NDJ-1977,0.503333333333333
DJF-1977,0.603333333333333
JFM-1978,0.6
FMA-1978,0.523333333333333
MAM-1978,0.223333333333333
AMJ-1978,-0.216666666666667
MJJ-1978,-0.546666666666667
JJA-1978,-0.716666666666667
JAS-1978,-0.666666666666667
ASO-1978,-0.683333333333333
SON-1978,-0.683333333333333
OND-1978,-0.653333333333333
NDJ-1978,-0.516666666666667
DJF-1978,-0.3
JFM-1979,-0.19
FMA-1979,-0.136666666666667
MAM-1979,-0.123333333333333
AMJ-1979,-0.0733333333333333
MJJ-1979,-0.0833333333333333
JJA-1979,-0.173333333333333
JAS-1979,-0.336666666666667
ASO-1979,-0.286666666666667
SON-1979,-0.0966666666666666
OND-1979,0.0966666666666667
NDJ-1979,0.226666666666667
DJF-1979,0.306666666666667
JFM-1980,0.45
FMA-1980,0.426666666666667
MAM-1980,0.263333333333333
AMJ-1980,0.06
MJJ-1980,0.0133333333333333
JJA-1980,0.0733333333333333
JAS-1980,0.0766666666666667
ASO-1980,-0.0766666666666667
SON-1980,-0.24
OND-1980,-0.306666666666667
NDJ-1980,-0.213333333333333
DJF-1980,-0.103333333333333
JFM-1981,-0.136666666666667
FMA-1981,-0.316666666666667
MAM-1981,-0.546666666666667
AMJ-1981,-0.603333333333333
MJJ-1981,-0.58
JJA-1981,-0.52
JAS-1981,-0.556666666666667
ASO-1981,-0.543333333333333
SON-1981,-0.453333333333333
OND-1981,-0.34
NDJ-1981,-0.3
DJF-1981,-0.303333333333333
JFM-1982,-0.16
FMA-1982,-0.08
MAM-1982,0.03
AMJ-1982,0.0566666666666667
MJJ-1982,0.263333333333333
JJA-1982,0.396666666666667
JAS-1982,0.45
ASO-1982,0.543333333333333
SON-1982,0.863333333333333
OND-1982,1.40333333333333
NDJ-1982,1.8
DJF-1982,2.03666666666667
JFM-1983,2.15666666666667
FMA-1983,2.16333333333333
MAM-1983,1.89
AMJ-1983,1.42333333333333
MJJ-1983,1.07666666666667
JJA-1983,0.796666666666667
JAS-1983,0.443333333333333
ASO-1983,0.0533333333333333
SON-1983,-0.3
OND-1983,-0.65
NDJ-1983,-0.99
DJF-1983,-1.16
JFM-1984,-0.996666666666667
FMA-1984,-0.63
MAM-1984,-0.46
AMJ-1984,-0.463333333333333
MJJ-1984,-0.643333333333333
JJA-1984,-0.77
JAS-1984,-0.71
ASO-1984,-0.546666666666667
SON-1984,-0.36
OND-1984,-0.416666666666667
NDJ-1984,-0.733333333333333
DJF-1984,-1.06666666666667
JFM-1985,-1.23
FMA-1985,-1.07333333333333
MAM-1985,-0.89
AMJ-1985,-0.896666666666667
MJJ-1985,-1
JJA-1985,-1.04
JAS-1985,-0.893333333333333
ASO-1985,-0.736666666666667
SON-1985,-0.666666666666667
OND-1985,-0.583333333333333
NDJ-1985,-0.52
DJF-1985,-0.423333333333333
JFM-1986,-0.48
FMA-1986,-0.593333333333333
MAM-1986,-0.596666666666667
AMJ-1986,-0.486666666666667
MJJ-1986,-0.426666666666667
JJA-1986,-0.39
JAS-1986,-0.316666666666667
ASO-1986,-0.0333333333333333
SON-1986,0.246666666666667
OND-1986,0.553333333333333
NDJ-1986,0.783333333333333
DJF-1986,0.98
JFM-1987,1.09
FMA-1987,1.13
MAM-1987,1.08333333333333
AMJ-1987,0.896666666666667
MJJ-1987,0.726666666666667
JJA-1987,0.706666666666667
JAS-1987,0.943333333333333
ASO-1987,1.26
SON-1987,1.50333333333333
OND-1987,1.48666666666667
NDJ-1987,1.32
DJF-1987,1.08333333333333
JFM-1988,0.97
FMA-1988,0.706666666666667
MAM-1988,0.426666666666667
AMJ-1988,-0.02
MJJ-1988,-0.53
JJA-1988,-1.14333333333333
JAS-1988,-1.57666666666667
ASO-1988,-1.55666666666667
SON-1988,-1.31
OND-1988,-1.36333333333333
NDJ-1988,-1.65
DJF-1988,-1.97
JFM-1989,-1.99333333333333
FMA-1989,-1.8
MAM-1989,-1.55
AMJ-1989,-1.25333333333333
MJJ-1989,-1.05666666666667
JJA-1989,-0.85
JAS-1989,-0.68
ASO-1989,-0.563333333333333
SON-1989,-0.466666666666667
OND-1989,-0.41
NDJ-1989,-0.383333333333333
DJF-1989,-0.326666666666667
JFM-1990,-0.19
FMA-1990,0.03
MAM-1990,0.0866666666666667
AMJ-1990,0.11
MJJ-1990,0.0666666666666667
JJA-1990,0.0266666666666667
JAS-1990,0.03
ASO-1990,0.0766666666666667
SON-1990,0.176666666666667
OND-1990,0.216666666666667
NDJ-1990,0.176666666666667
DJF-1990,0.22
JFM-1991,0.313333333333333
FMA-1991,0.386666666666667
MAM-1991,0.28
AMJ-1991,0.18
MJJ-1991,0.16
JJA-1991,0.323333333333333
JAS-1991,0.513333333333333
ASO-1991,0.653333333333333
SON-1991,0.62
OND-1991,0.653333333333333
NDJ-1991,0.826666666666667
DJF-1991,1.25
JFM-1992,1.57666666666667
FMA-1992,1.77
MAM-1992,1.66666666666667
AMJ-1992,1.45333333333333
MJJ-1992,1.20666666666667
JJA-1992,0.94
JAS-1992,0.613333333333333
ASO-1992,0.283333333333333
SON-1992,0.07
OND-1992,-0.103333333333333
NDJ-1992,-0.213333333333333
DJF-1992,-0.243333333333333
JFM-1993,-0.0966666666666667
FMA-1993,0.133333333333333
MAM-1993,0.313333333333333
AMJ-1993,0.463333333333333
MJJ-1993,0.586666666666667
JJA-1993,0.573333333333333
JAS-1993,0.453333333333333
ASO-1993,0.236666666666667
SON-1993,0.236666666666667
OND-1993,0.18
NDJ-1993,0.136666666666667
DJF-1993,0.0733333333333333
JFM-1994,0.0866666666666667
FMA-1994,0.106666666666667
MAM-1994,0.09
AMJ-1994,0.143333333333333
MJJ-1994,0.226666666666667
JJA-1994,0.296666666666667
JAS-1994,0.29
ASO-1994,0.363333333333333
SON-1994,0.416666666666667
OND-1994,0.586666666666667
NDJ-1994,0.78
DJF-1994,1.03666666666667
JFM-1995,1.12666666666667
FMA-1995,1
MAM-1995,0.736666666666667
AMJ-1995,0.49
MJJ-1995,0.21
JJA-1995,0.01
JAS-1995,-0.153333333333333
ASO-1995,-0.326666666666667
SON-1995,-0.56
OND-1995,-0.783333333333333
NDJ-1995,-0.94
DJF-1995,-0.976666666666667
JFM-1996,-0.97
FMA-1996,-0.89
MAM-1996,-0.776666666666667
AMJ-1996,-0.646666666666667
MJJ-1996,-0.486666666666667
JJA-1996,-0.43
JAS-1996,-0.42
ASO-1996,-0.366666666666667
SON-1996,-0.37
OND-1996,-0.37
NDJ-1996,-0.433333333333333
DJF-1996,-0.496666666666667
JFM-1997,-0.526666666666667
FMA-1997,-0.513333333333333
MAM-1997,-0.383333333333333
AMJ-1997,-0.153333333333333
MJJ-1997,0.183333333333333
JJA-1997,0.63
JAS-1997,1.09666666666667
ASO-1997,1.51333333333333
SON-1997,1.86
OND-1997,2.12666666666667
NDJ-1997,2.3
DJF-1997,2.35333333333333
JFM-1998,2.36
FMA-1998,2.23333333333333
MAM-1998,1.91666666666667
AMJ-1998,1.38333333333333
MJJ-1998,0.896666666666667
JJA-1998,0.32
JAS-1998,-0.27
ASO-1998,-0.886666666666667
SON-1998,-1.17666666666667
OND-1998,-1.33333333333333
NDJ-1998,-1.39333333333333
DJF-1998,-1.53666666666667
JFM-1999,-1.61333333333333
FMA-1999,-1.56666666666667
MAM-1999,-1.32
AMJ-1999,-1.12666666666667
MJJ-1999,-1.07
JJA-1999,-1.15
JAS-1999,-1.17
ASO-1999,-1.19333333333333
SON-1999,-1.16
OND-1999,-1.18
NDJ-1999,-1.3
DJF-1999,-1.51666666666667
JFM-2000,-1.69666666666667
FMA-2000,-1.68666666666667
MAM-2000,-1.43333333333333
AMJ-2000,-1.13333333333333
MJJ-2000,-0.903333333333333
JJA-2000,-0.84
JAS-2000,-0.773333333333333
ASO-2000,-0.65
SON-2000,-0.56
OND-2000,-0.57
NDJ-2000,-0.67
DJF-2000,-0.803333333333333
JFM-2001,-0.813333333333333
FMA-2001,-0.76
MAM-2001,-0.613333333333333
AMJ-2001,-0.533333333333333
MJJ-2001,-0.436666666666667
JJA-2001,-0.34
JAS-2001,-0.19
ASO-2001,-0.0933333333333333
SON-2001,-0.0966666666666667
OND-2001,-0.13
NDJ-2001,-0.236666666666667
DJF-2001,-0.306666666666667
JFM-2002,-0.31
FMA-2002,-0.2
MAM-2002,-0.06
AMJ-2002,-0.00333333333333333
MJJ-2002,0.113333333333333
JJA-2002,0.35
JAS-2002,0.59
ASO-2002,0.776666666666667
SON-2002,0.9
OND-2002,1.07
NDJ-2002,1.27
DJF-2002,1.36333333333333
JFM-2003,1.14666666666667
FMA-2003,0.87
MAM-2003,0.533333333333333
AMJ-2003,0.286666666666667
MJJ-2003,-0.13
JJA-2003,-0.346666666666667
JAS-2003,-0.23
ASO-2003,0.06
SON-2003,0.246666666666667
OND-2003,0.316666666666667
NDJ-2003,0.34
DJF-2003,0.393333333333333
JFM-2004,0.343333333333333
FMA-2004,0.31
MAM-2004,0.206666666666667
AMJ-2004,0.14
MJJ-2004,0.0833333333333333
JJA-2004,0.0866666666666667
JAS-2004,0.226666666666667
ASO-2004,0.46
SON-2004,0.686666666666667
OND-2004,0.766666666666667
NDJ-2004,0.733333333333333
DJF-2004,0.71
JFM-2005,0.686666666666667
FMA-2005,0.586666666666667
MAM-2005,0.49
AMJ-2005,0.356666666666667
MJJ-2005,0.336666666666667
JJA-2005,0.2
JAS-2005,0.0366666666666667
ASO-2005,-0.08
SON-2005,-0.106666666666667
OND-2005,-0.05
NDJ-2005,-0.23
DJF-2005,-0.523333333333333
JFM-2006,-0.806666666666667
FMA-2006,-0.833333333333333
MAM-2006,-0.763333333333333
AMJ-2006,-0.566666666666667
MJJ-2006,-0.373333333333333
JJA-2006,-0.136666666666667
JAS-2006,-0.0266666666666667
ASO-2006,0.106666666666667
SON-2006,0.306666666666667
OND-2006,0.536666666666667
NDJ-2006,0.763333333333333
DJF-2006,0.943333333333333
JFM-2007,0.943333333333333
FMA-2007,0.656666666666667
MAM-2007,0.216666666666667
AMJ-2007,-0.123333333333333
MJJ-2007,-0.323333333333333
JJA-2007,-0.38
JAS-2007,-0.47
ASO-2007,-0.553333333333333
SON-2007,-0.806666666666667
OND-2007,-1.07333333333333
NDJ-2007,-1.34666666666667
DJF-2007,-1.50333333333333
JFM-2008,-1.6
FMA-2008,-1.64333333333333
MAM-2008,-1.52
AMJ-2008,-1.29
MJJ-2008,-1.01333333333333
JJA-2008,-0.836666666666667
JAS-2008,-0.606666666666667
ASO-2008,-0.37
SON-2008,-0.226666666666667
OND-2008,-0.243333333333333
NDJ-2008,-0.353333333333333
DJF-2008,-0.556666666666667
JFM-2009,-0.736666666666667
FMA-2009,-0.846666666666667
MAM-2009,-0.79
AMJ-2009,-0.61
MJJ-2009,-0.326666666666667
JJA-2009,0.00666666666666667
JAS-2009,0.283333333333333
ASO-2009,0.45
SON-2009,0.573333333333333
OND-2009,0.71
NDJ-2009,1.01
DJF-2009,1.36333333333333
JFM-2010,1.57333333333333
FMA-2010,1.50333333333333
MAM-2010,1.22333333333333
AMJ-2010,0.843333333333333
MJJ-2010,0.353333333333333
JJA-2010,-0.176666666666667
JAS-2010,-0.66
ASO-2010,-1.05
SON-2010,-1.35333333333333
OND-2010,-1.56
NDJ-2010,-1.64333333333333
DJF-2010,-1.64333333333333
JFM-2011,-1.59333333333333
FMA-2011,-1.41666666666667
MAM-2011,-1.19333333333333
AMJ-2011,-0.936666666666667
MJJ-2011,-0.74
JJA-2011,-0.556666666666667
JAS-2011,-0.443333333333333
ASO-2011,-0.486666666666667
SON-2011,-0.626666666666667
OND-2011,-0.833333333333333
NDJ-2011,-1.01333333333333
DJF-2011,-1.1
JFM-2012,-1.04
FMA-2012,-0.866666666666667
MAM-2012,-0.716666666666667
AMJ-2012,-0.593333333333333
MJJ-2012,-0.476666666666667
JJA-2012,-0.266666666666667
JAS-2012,-0.0166666666666667
ASO-2012,0.246666666666667
SON-2012,0.366666666666667
OND-2012,0.37
NDJ-2012,0.266666666666667
DJF-2012,0.0566666666666667
JFM-2013,-0.206666666666667
FMA-2013,-0.433333333333333
MAM-2013,-0.433333333333333
AMJ-2013,-0.34
MJJ-2013,-0.3
JJA-2013,-0.356666666666667
JAS-2013,-0.403333333333333
ASO-2013,-0.396666666666667
SON-2013,-0.316666666666667
OND-2013,-0.253333333333333
NDJ-2013,-0.173333333333333
DJF-2013,-0.17
JFM-2014,-0.266666666666667
FMA-2014,-0.426666666666667
MAM-2014,-0.463333333333333
AMJ-2014,-0.273333333333333
MJJ-2014,0.04
JJA-2014,0.21
JAS-2014,0.163333333333333
ASO-2014,0.0466666666666667
SON-2014,0.0666666666666667
OND-2014,0.233333333333333
NDJ-2014,0.493333333333333
DJF-2014,0.633333333333333
JFM-2015,0.656666666666667
FMA-2015,0.546666666666667
MAM-2015,0.466666666666667
AMJ-2015,0.53
MJJ-2015,0.696666666666667
JJA-2015,0.933333333333333
JAS-2015,1.18666666666667
ASO-2015,1.52333333333333
SON-2015,1.86666666666667
OND-2015,2.16666666666667
NDJ-2015,2.43
DJF-2015,2.58
JFM-2016,2.65
FMA-2016,2.49666666666667
MAM-2016,2.15
AMJ-2016,1.59666666666667
MJJ-2016,0.943333333333333
JJA-2016,0.393333333333333
JAS-2016,-0.07
ASO-2016,-0.363333333333333
SON-2016,-0.546666666666667
OND-2016,-0.633333333333333
NDJ-2016,-0.693333333333333
DJF-2016,-0.666666666666667
JFM-2017,-0.563333333333333
FMA-2017,-0.336666666666667
MAM-2017,-0.16
AMJ-2017,0.0566666666666667
MJJ-2017,0.206666666666667
JJA-2017,0.31
JAS-2017,0.32
ASO-2017,0.143333333333333
SON-2017,-0.113333333333333
OND-2017,-0.383333333333333
NDJ-2017,-0.653333333333333
DJF-2017,-0.836666666666667
JFM-2018,-0.976666666666667
FMA-2018,-0.913333333333333
MAM-2018,-0.853333333333333
AMJ-2018,-0.696666666666667
MJJ-2018,-0.503333333333333
JJA-2018,-0.223333333333333
JAS-2018,-0.0133333333333333
ASO-2018,0.0833333333333333
SON-2018,0.226666666666667
OND-2018,0.486666666666667
NDJ-2018,0.756666666666667
DJF-2018,0.896666666666667
JFM-2019,0.813333333333333
FMA-2019,0.75
MAM-2019,0.723333333333333
AMJ-2019,0.713333333333333
MJJ-2019,0.66
JJA-2019,0.54
JAS-2019,0.45
ASO-2019,0.28
SON-2019,0.14
OND-2019,0.183333333333333
NDJ-2019,0.343333333333333
DJF-2019,0.506666666666667
JFM-2020,0.546666666666667
FMA-2020,0.496666666666667
MAM-2020,0.483333333333333
AMJ-2020,0.403333333333333
MJJ-2020,0.19
JJA-2020,-0.0833333333333334
JAS-2020,-0.303333333333333
ASO-2020,-0.41
SON-2020,-0.573333333333333
OND-2020,-0.893333333333333
NDJ-2020,-1.17
DJF-2020,-1.27666666666667
JFM-2021,-1.19
FMA-2021,-1.05
MAM-2021,-0.933333333333333
AMJ-2021,-0.84
MJJ-2021,-0.66
JJA-2021,-0.486666666666667
JAS-2021,-0.376666666666667
ASO-2021,-0.4
SON-2021,-0.49
OND-2021,-0.673333333333333
NDJ-2021,-0.81
DJF-2021,-0.98
JFM-2022,-0.98
FMA-2022,-0.963333333333333
MAM-2022,-0.933333333333333
AMJ-2022,-0.99
MJJ-2022,-1.06333333333333
JJA-2022,-0.99
JAS-2022,-0.85
ASO-2022,-0.803333333333333
SON-2022,-0.91
OND-2022,-1.01
NDJ-2022,-0.986666666666667
DJF-2022,-0.913333333333333
JFM-2023,-0.823333333333333
FMA-2023,-0.676666666666667
MAM-2023,-0.43
AMJ-2023,-0.143333333333333
MJJ-2023,0.163333333333333
JJA-2023,0.48
JAS-2023,0.773333333333333
ASO-2023,1.07
SON-2023,1.32333333333333
OND-2023,1.55666666666667
NDJ-2023,1.78
DJF-2023,1.92333333333333
JFM-2024,1.95333333333333
FMA-2024,1.78666666666667
MAM-2024,1.48666666666667
AMJ-2024,1.14
MJJ-2024,0.71
JJA-2024,0.39
JAS-2024,0.146666666666667
ASO-2024,0.03
SON-2024,-0.113333333333333
OND-2024,-0.216666666666667
NDJ-2024,-0.26
DJF-2024,-0.373333333333333
JFM-2025,-0.53
FMA-2025,-0.59
MAM-2025,-0.386666666666667
AMJ-2025,-0.186666666666667
MJJ-2025,-0.0866666666666667
JJA-2025,-0.113333333333333
JAS-2025,-0.113333333333333
ASO-2025,-0.19
SON-2025,-0.323333333333333
OND-2025,-0.443333333333333
NDJ-2025,-0.556666666666667
DJF-2025,-0.623333333333333
JFM-2026,-0.656666666666667
